Model,Error_Type,n_estimators,learning_rate,max_depth,colsample_bytree,R²,RMSE,MAE
XGBoost,Validation,100,0.2,7,0.8,0.6064950119724979,0.5457793423274063,0.39703946551664365
XGBoost,Validation,300,0.2,15,0.5,0.6059729546001307,0.5461412611062569,0.3962169988320168
XGBoost,Validation,300,0.1,5,0.8,0.6052827773651408,0.54661936198146,0.40452267902270644
XGBoost,Validation,100,0.2,15,0.7,0.6052246540288708,0.5466596061988962,0.3969219313245413
XGBoost,Validation,300,0.3,5,0.5,0.6038340027503853,0.5476216021487423,0.40004767786153544
XGBoost,Validation,100,0.1,7,0.8,0.6037802463168709,0.5476587547386792,0.40892668856237413
XGBoost,Validation,300,0.05,6,0.5,0.6032582527058272,0.5480193882950872,0.4102482866343289
XGBoost,Validation,100,0.3,10,0.5,0.6032293646161697,0.548039339491502,0.3985726767465326
XGBoost,Validation,300,0.2,20,0.7,0.6032165193393173,0.5480482106873996,0.3957357970842364
XGBoost,Validation,100,0.3,7,0.7,0.6030623393868684,0.5481546791321923,0.3979276461337836
XGBoost,Validation,300,0.3,7,0.8,0.602798601313597,0.5483367546406874,0.3949481487447539
XGBoost,Validation,300,0.01,10,0.5,0.6023460102635867,0.5486490667997581,0.4156596677335656
XGBoost,Validation,300,0.01,10,0.7,0.6020275849909804,0.5488686908614305,0.41444238274566364
XGBoost,Validation,100,0.2,6,0.5,0.6020012899944573,0.54888682310048,0.40452019005307266
XGBoost,Validation,300,0.3,7,0.5,0.6018750484432689,0.5489738671390431,0.395997230587572
XGBoost,Validation,300,0.05,6,0.7,0.6014554805230403,0.5492630617378522,0.4114878879352469
XGBoost,Validation,300,0.3,5,1.0,0.6007903343733758,0.549721213697465,0.39967780826999205
XGBoost,Validation,100,0.2,6,0.7,0.6003037395665936,0.5500561379858704,0.4069429125069478
XGBoost,Validation,300,0.01,10,0.8,0.6001806015166053,0.5501408618511602,0.4145595973109767
XGBoost,Validation,300,0.3,6,0.8,0.6000693622114477,0.5502173876918255,0.3971755484539494
XGBoost,Validation,100,0.1,7,1.0,0.5999427806775466,0.5503044551032783,0.4094949288649222
XGBoost,Validation,100,0.2,7,1.0,0.5991129946973857,0.5508748714843048,0.398312936280779
XGBoost,Validation,100,0.3,7,0.8,0.5987968341923289,0.5510920530715532,0.39919774350548715
XGBoost,Validation,300,0.3,10,1.0,0.5986425991426145,0.5511979714067894,0.3964525426571022
XGBoost,Validation,100,0.3,10,1.0,0.598575307545687,0.5512441764064991,0.3966127520111444
XGBoost,Validation,300,0.05,15,1.0,0.5981508246872154,0.5515355534470432,0.3975993888860217
XGBoost,Validation,300,0.3,5,0.7,0.5980319355800573,0.5516171347023258,0.4027238234513431
XGBoost,Validation,300,0.05,6,0.8,0.5964280450217394,0.5527165413544273,0.41146836431600947
XGBoost,Validation,100,0.3,7,0.5,0.5961857089039694,0.5528824635372691,0.4017930345827829
XGBoost,Validation,300,0.3,10,0.7,0.5947401311420554,0.5538711860919239,0.39719405580127354
XGBoost,Validation,100,0.3,10,0.7,0.5943308763251058,0.5541507810752074,0.39746009613371236
XGBoost,Validation,300,0.3,6,1.0,0.5942925249453509,0.5541769747679685,0.39797223859421527
XGBoost,Validation,300,0.2,15,0.8,0.5942544737050433,0.5542029622443154,0.39937104969016923
XGBoost,Validation,100,0.2,15,0.8,0.5942544652239307,0.5542029680364405,0.3993710757068482
XGBoost,Validation,100,0.3,6,0.5,0.5940315437035801,0.5543551900489813,0.40794477729591877
XGBoost,Validation,300,0.05,6,1.0,0.5933187185316937,0.554841662604433,0.41622403892138155
XGBoost,Validation,300,0.3,10,0.8,0.5923905130773037,0.5554744843669425,0.3969710246908158
XGBoost,Validation,100,0.3,6,0.7,0.5918066834573619,0.5558721522621783,0.4063787666623056
XGBoost,Validation,100,0.3,6,0.8,0.5898794272938166,0.5571828627003048,0.407241489581516
XGBoost,Validation,100,0.1,7,0.7,0.5893134782137437,0.5575671745790194,0.4142111174516772
XGBoost,Validation,100,0.3,15,0.5,0.5891697121203123,0.5576647578162285,0.4061817154095314
XGBoost,Validation,300,0.3,15,0.5,0.5891697119159585,0.5576647579549244,0.40618171598387043
