Model,Error_Type,alpha,R²,RMSE,MAE
Ridge,Validation,5.39,0.3236144640736297,0.7155485874350697,0.5865585268030538
Ridge,Train,1.17,0.327989380739117,0.704146693459562,0.5716877224658921
Ridge,Validation,1.17,0.3236669783690923,0.7155208094465354,0.5864565594888201
Ridge,Train,7.64,0.32780477782097783,0.7042434022056293,0.5720527555939323
Ridge,Validation,7.64,0.32354776662556906,0.7155838661967653,0.586626363474085
Ridge,Train,0.66,0.32799375420597643,0.7041444021510989,0.5716603914074314
Ridge,Validation,0.66,0.3236637400780993,0.7155225224057914,0.5864475837589834
Ridge,Train,4.88,0.32790565890418066,0.7041905548328283,0.5718976726059886
Ridge,Validation,4.88,0.32362661263433523,0.7155421614220755,0.5865440134180114
Ridge,Train,4.6,0.3279144364509434,0.7041859564562848,0.5718815079875645
Ridge,Validation,4.6,0.3236327340187194,0.7155389234779123,0.5865359810251055
Ridge,Train,7.97,0.32779128402832125,0.7042504707375418,0.5720707918928721
Ridge,Validation,7.97,0.32353646028179817,0.7155898463702218,0.5866368610674769
Ridge,Train,3.71,0.3279400927598154,0.7041725154706375,0.5718305871367719
Ridge,Validation,3.71,0.32364935137910145,0.7155301335483947,0.5865106816314666
Ridge,Train,5.26,0.3278932552975956,0.7041970527764727,0.571919445836398
Ridge,Validation,5.26,0.3236176788026234,0.7155468870013661,0.5865548415747078
Ridge,Train,6.08,0.32786472522058674,0.7042119987527635,0.5719654314269585
Ridge,Validation,6.08,0.32359613518350927,0.7155582824402771,0.5865780772511399
Ridge,Train,1.12,0.3279899060048346,0.7041464182673405,0.5716850489551311
Ridge,Validation,1.12,0.32366677835943125,0.7155209152457936,0.5864556734430547
Ridge,Train,4.63,0.32791351125809476,0.7041864411472395,0.5718832492774579
Ridge,Validation,4.63,0.3236320975519359,0.7155392601416399,0.5865368438325412
Ridge,Train,5.16,0.3278965724092303,0.7041953150293533,0.5719137575259634
Ridge,Validation,5.16,0.32362009756652277,0.7155456075914292,0.5865520001615073
Ridge,Train,2.27,0.32797306784189917,0.7041552399040669,0.5717485891390786
Ridge,Validation,2.27,0.3236655572676552,0.7155215611672736,0.5864785205181847
Ridge,Train,6.3,0.3278566938833182,0.7042162060510468,0.5719777419635695
Ridge,Validation,6.3,0.3235898677343041,0.7155615975564623,0.5865844760766403
Ridge,Train,0.45,0.32799489005483484,0.7041438070658906,0.5716492219944567
Ridge,Validation,0.45,0.32366159884500467,0.7155236550519195,0.5864439306583074
Ridge,Train,7.45,0.3278124283161037,0.7042393945707426,0.5720422711030946
Ridge,Validation,7.45,0.3235541180721737,0.7155805067552838,0.5866202802746515
Ridge,Train,8.03,0.32778880342801364,0.7042517701571127,0.572074061449052
Ridge,Validation,8.03,0.3235343681931887,0.7155909529163409,0.5866387605566762
Ridge,Train,9.31,0.32773406993797016,0.7042804407392468,0.5721449110037242
Ridge,Validation,9.31,0.32348728251512926,0.7156158569893231,0.5866786324270354
Ridge,Train,9.74,0.3277149790911672,0.7042904406618565,0.5721684403248688
Ridge,Validation,9.74,0.3234705007633917,0.7156247328115106,0.5866919316600696
